"KOL ID","KOL Name","Updates","Image Link","Source Link","AA Comments","validation error message","validation action"
"HDTD_00099","Charles H Adler","New","https://www.mayo.edu/-/media/kcms/employees/2018/06/16/21/42/charles-adler-11540249.jpg","https://www.mayo.edu/research/faculty/adler-charles-h-m-d-ph-d/bio-00084577","Added by AA on 04/30/2024","",""
"HDTD_00082","Debra Judi Ehrlich","New","https://research.ninds.nih.gov/sites/default/files/styles/faculty_member_200w_/public/images/2021-04/DEhrlich.JPG?itok=cl3pbE0o","https://research.ninds.nih.gov/staff-directory/debra-j-ehrlich-md-ms","Added by AA on 04/30/2024","",""
"HDTD_00102","Rachel J Saunders-Pullman","New","https://www.mountsinai.org/files/fad_img_new/157/0000076810085927264821/0000072500029420981821.jpg","https://profiles.mountsinai.org/rachel-saunders-pullman","Added by AA on 04/30/2024","",""
"HDTD_00125","Allison Brashear","New","https://medicine.buffalo.edu/content/medicine/about/leadership_and_administration/dean/jcr:content/par/image.img.220.auto.jpg/1690304947167.jpg","https://medicine.buffalo.edu/about/leadership_and_administration/dean.html","Added by AA on 04/30/2024","",""
"HDTD_00137","John M Kane","New","https://dam.northwell.edu/m/219cd4f5139442ac/Drupal-WEB_JohnKane.jpg","https://feinstein.northwell.edu/institutes-researchers/our-researchers/john-m-kane-md","Added by AA on 04/30/2024","",""
"HDTD_00146","Harini Sarva","New","https://images.med.cornell.edu/headshots/has9059.jpg?b2193403ee","https://weillcornell.org/harini-sarva-md","Added by AA on 04/30/2024","",""
"HDTD_00171","Richard L Barbano","New","https://www.urmc.rochester.edu/ecv_binary/faculty/generated/profile_web/3297.jpg","https://www.urmc.rochester.edu/people/112358628-richard-l-barbano","Added by AA on 04/30/2024","",""
"HDTD_00202","Christos Sidiropoulos","New","https://neurology.msu.edu/sites/default/files/styles/profile_large/public/profile/Sidiropoulos_Christos_application.jpg?itok=GL_Tk_Ik","https://neurology.msu.edu/directory/christos-sidiropoulos","Added by AA on 04/30/2024","",""
"HDTD_00101","David Lewis Perez","New","https://px.massgeneral.connecthealthcare.com/Custom/Photos/HiRes/3092.jpg","https://www.massgeneral.org/doctors/19542/david-perez","Added by AA on 04/30/2024","",""
"HDTD_00164","Fay B Horak","New","https://www.ohsu.edu/sites/default/files/profile-photos/Fay%20profile%20photo%202022.jpg","https://www.ohsu.edu/people/fay-b-horak-phd-pt","Added by AA on 04/30/2024","",""
"HDTD_00117","Caroline M Tanner","New","https://www.ucsfhealth.org/-/media/project/ucsf/ucsf-health/doctor/hero/dr-caroline-tanner-md-108-1440x784-2x.jpg?h=1568&iar=0&w=2880&hash=ACDE111B4766FF4B37BA84EAC9772C3B","https://www.ucsfhealth.org/providers/dr-caroline-tanner","Added by AA on 04/30/2024","",""
"HDTD_00153","Christopher William Hess","New","https://ufhealth.org/assets/profile-photos/hero/_1920x822_crop_center-center_82_line/ChristopherHess-hero.jpg.webp","https://ufhealth.org/doctors/christopher-hess/bio#my-bio","Added by AA on 04/30/2024","",""
"HDTD_01278","Marta San Luciano Palenzuela","New","https://doximity-res.cloudinary.com/images/f_auto,q_auto,t_profile_photo_320x320/qxsq3xlvcnqclinvawob/marta-san-luciano-palenzuela-md-san-francisco-ca.jpg","https://www.doximity.com/pub/marta-san-luciano-palenzuela-md","Added by AA on 04/30/2024","",""
"HDTD_00147","James Francis Morley","New","https://doximity-res.cloudinary.com/images/f_auto,q_auto,t_profile_photo_320x320/zcwza6v6nzsqxmp6d6ck/james-morley-md-philadelphia-pa.jpg","https://www.doximity.com/pub/james-morley-md-7f5ea1ff","Added by AA on 04/30/2024","",""
"HDTD_00121","Stanley Fahn","New","https://roar.me.columbia.edu/sites/default/files/styles/cu_crop/public/content/People/collaborator/Stanley%20Fahn.jpg?itok=YfOTnHqY","https://roar.me.columbia.edu/people/stanley-fahn","Added by AA on 04/30/2024","",""
"HDTD_00206","Scott Allen Norris","New","https://cdn.intelligencebank.com/us/share/A4Rj/8ybG6/Dn6rY/original/Norris","https://www.mir.wustl.edu/employees/scott-norris/","Added by AA on 04/30/2024","",""
"HDTD_00331","Wissam Georges Deeb","New","https://dmcdn-prod.consumerism.pressganey.com/provider_photos/63/Profile/Live/4683_202403281402046271.jpg","https://physicians.umassmemorial.org/details/4683/wissam-deeb-neurology-worcester","Added by AA on 04/30/2024","",""
"HDTD_00105","Ruth Helen Walker","New","https://www.mountsinai.org/files/fad_img_new/161/0000076810011253713481/0000072500001497136722.jpg","https://profiles.mountsinai.org/ruth-h-walker","Added by AA on 04/30/2024","",""
"HDTD_00205","Ludy C Shih","New","https://findadoc.bidmc.org/Custom/Photos/hires/5626.jpg","https://findadoc.bidmc.org/details/5626/ludy-shih-neurology-boston","Added by AA on 04/30/2024","",""
"HDTD_00235","Harrison Carroll Walker","New","https://scholars.uab.edu/755-harrison-walker/photo","https://scholars.uab.edu/755-harrison-walker","Added by AA on 04/30/2024","",""
"HDTD_00288","Dimitri Krainc","New","https://www.vanquabio.com/wp-content/uploads/2020/11/Dimitri-Krainc-Feinberg.jpg","https://www.vanquabio.com/team/dimitri-krainc/","Added by AA on 04/30/2024","",""
"HDTD_00168","Daniel Weintraub","New","https://www.cherp.research.va.gov/images/bio-weintraub-daniel.jpg","https://www.cherp.research.va.gov/people/daniel-weintraub.asp","Added by AA on 04/30/2024","",""
"HDTD_00014","Christopher A Ross","New","https://cdn-images.kyruus.com/providermatch/johnshopkins/photos/200/ross-christopher-1245268630.jpg","https://profiles.hopkinsmedicine.org/provider/Christopher+Ross/2706908","Added by AA on 04/30/2024","",""
"HDTD_07937","Barbara Paula Illowsky Karp","New","https://res.cloudinary.com/els-assets/image/upload/c_fill_pad,f_auto,g_auto,h_150,q_auto,w_120/v1/practice-update/remote-media/contentimage/29825.jpg","https://www.practiceupdate.com/author/barbara-karp/5078","Added by AA on 04/30/2024","",""
"HDTD_00041","Jamie Lynn Adams","New","https://www.urmc.rochester.edu/ecv_binary/faculty/generated/profile_web/24894.jpg","https://www.urmc.rochester.edu/people/112360928-jamie-lynn-adams#research","Added by AA on 04/30/2024","",""
"HDTD_00763","Bahman Jabbari","New","https://ysm-res.cloudinary.com/image/upload/c_limit,f_auto,h_630,q_auto,w_1200/v1/yms/prod/d36087e4-7c90-484a-9775-8854c1d7bded","https://medicine.yale.edu/profile/bahman-jabbari/","Added by AA on 04/30/2024","",""
"HDTD_02891","Aaron Lee Ellenbogen","New","https://doximity-res.cloudinary.com/images/f_auto,q_auto,t_profile_photo_320x320/nm0gkxgdenyjzo0fahxm/aaron-ellenbogen-do-farmington-mi.jpg","https://www.doximity.com/pub/aaron-ellenbogen-do","Added by AA on 04/30/2024","",""
"HDTD_00162","David M Simpson","New","https://www.mountsinai.org/files/fad_img_new/241/0000076810082449061711/0000072500001497207392.jpg","https://profiles.mountsinai.org/david-m-simpson","Added by AA on 04/30/2024","",""
"HDTD_00215","Thomas L Davis","New","https://www.vumc.org/neurology/sites/default/files/people/photo-_0084_davis_tom-2.jpg","https://www.vumc.org/neurology/person/thomas-l-davis-md","Added by AA on 04/30/2024","",""
"HDTD_00513","Ian O Bledsoe","New","https://researcherprofiles.org/profile/Modules/CustomViewPersonGeneralInfo/PhotoHandler.ashx?NodeID=186045&cachekey=7de455de-9f38-4e2b-91af-9a6be5f224f8","https://profiles.ucsf.edu/ian.bledsoe","Added by AA on 04/30/2024","",""
"HDTD_00241","Samantha K Holden","New","https://medschool.cuanschutz.edu/images/librariesprovider163/default-album/sholden_headshot_2023.tmb-image700.jpg?Culture=en&sfvrsn=48c22ebb_1","https://medschool.cuanschutz.edu/alzheimer/about/directory/faculty/samantha-holden","Added by AA on 04/30/2024","",""
"HDTD_00033","Andrew S Feigin","New","https://huntingtonstudygroup.org/wp-content/uploads/Andrew-Feigin_Circle-260x300.png","https://huntingtonstudygroup.org/about-andrew-feigin/","Added by AA on 04/30/2024","",""
"HDTD_00664","Grace Szu-Yu Liang","New","https://img.webmd.com/lhd/provider/1932115219.jpg?resize=150px:*","https://www.vitals.com/doctors/Dr_Grace_S_Liang.html","Added by AA on 04/30/2024","",""
"HDTD_02300","Rodger Jacob Elble","New","https://www.siumed.org/sites/default/files/styles/square_540/public/faculty/elbler_0006.jpg?h=85eca17e&itok=Lmww_yxf","https://www.siumed.org/rodger-elble#Clinical_locations","Added by AA on 04/30/2024","",""
"HDTD_01189","William Todd Dauer","New","https://s3-us-west-2.amazonaws.com/utsw-patientcare-web-production/images/William_Dauer-800x800.width-200.jpg","https://utswmed.org/doctors/william-dauer/","Added by AA on 04/30/2024","",""
